ccy,date,per_usd,source
COP,2024-12-02,4274.9,synthetic
COP,2024-12-03,4273.53,synthetic
COP,2024-12-04,4280.44,synthetic
COP,2024-12-05,4270.52,synthetic
COP,2024-12-06,4267.97,synthetic
COP,2024-12-09,4279.91,synthetic
COP,2024-12-10,4264.02,synthetic
COP,2024-12-11,4274.08,synthetic
COP,2024-12-12,4305.07,synthetic
COP,2024-12-13,4294.66,synthetic
COP,2024-12-16,4296.32,synthetic
COP,2024-12-17,4292.87,synthetic
COP,2024-12-18,4318.46,synthetic
COP,2024-12-19,4323.06,synthetic
COP,2024-12-20,4337.72,synthetic
COP,2024-12-23,4324.88,synthetic
COP,2024-12-24,4323.74,synthetic
COP,2024-12-25,4322.7,synthetic
COP,2024-12-26,4291.13,synthetic
COP,2024-12-27,4315.0,synthetic
COP,2024-12-30,4329.66,synthetic
COP,2024-12-31,4298.5,synthetic
COP,2025-01-01,4310.44,synthetic
COP,2025-01-02,4307.32,synthetic
COP,2025-01-03,4314.18,synthetic
COP,2025-01-06,4319.65,synthetic
COP,2025-01-07,4292.88,synthetic
COP,2025-01-08,4288.38,synthetic
COP,2025-01-09,4313.13,synthetic
COP,2025-01-10,4302.35,synthetic
COP,2025-01-13,4283.88,synthetic
COP,2025-01-14,4259.73,synthetic
COP,2025-01-15,4238.07,synthetic
COP,2025-01-16,4242.91,synthetic
COP,2025-01-17,4270.79,synthetic
COP,2025-01-20,4277.27,synthetic
COP,2025-01-21,4280.62,synthetic
COP,2025-01-22,4318.01,synthetic
COP,2025-01-23,4308.17,synthetic
COP,2025-01-24,4295.69,synthetic
COP,2025-01-27,4303.91,synthetic
COP,2025-01-28,4312.5,synthetic
COP,2025-01-29,4294.13,synthetic
COP,2025-01-30,4273.18,synthetic
COP,2025-01-31,4277.29,synthetic
COP,2025-02-03,4280.67,synthetic
COP,2025-02-04,4257.44,synthetic
COP,2025-02-05,4253.14,synthetic
COP,2025-02-06,4243.06,synthetic
COP,2025-02-07,4250.02,synthetic
COP,2025-02-10,4247.19,synthetic
COP,2025-02-11,4244.87,synthetic
COP,2025-02-12,4238.02,synthetic
COP,2025-02-13,4255.04,synthetic
COP,2025-02-14,4277.86,synthetic
COP,2025-02-17,4270.72,synthetic
COP,2025-02-18,4284.32,synthetic
COP,2025-02-19,4270.48,synthetic
COP,2025-02-20,4270.86,synthetic
COP,2025-02-21,4282.81,synthetic
COP,2025-02-24,4307.9,synthetic
COP,2025-02-25,4300.44,synthetic
COP,2025-02-26,4298.31,synthetic
COP,2025-02-27,4300.83,synthetic
COP,2025-02-28,4274.19,synthetic
COP,2025-03-03,4273.61,synthetic
